,ANGOSTURA,CORANI,MIGUILLA,MISICUNI
2004-01-12 04:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 05:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 06:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 07:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 08:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 09:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 10:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 11:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 12:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 13:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 14:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 15:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 16:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 17:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 18:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 19:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 20:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 21:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 22:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-12 23:00:00+00:00,2.1825440802953455,1.7686811253196353,1.4639419143529413,2.6779576998168753
2004-01-13 00:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 01:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 02:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 03:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 04:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 05:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 06:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 07:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 08:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 09:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 10:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 11:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 12:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 13:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 14:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 15:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 16:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 17:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 18:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 19:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 20:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 21:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 22:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-13 23:00:00+00:00,2.3578659989711075,2.0391942717173825,1.550498891294118,3.430494435948375
2004-01-14 00:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 01:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 02:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 03:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 04:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 05:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 06:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 07:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 08:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 09:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 10:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 11:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 12:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 13:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 14:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 15:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 16:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 17:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 18:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 19:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 20:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 21:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 22:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-14 23:00:00+00:00,2.7965984100963084,2.3015071605930255,1.8176965157647065,4.471486335493875
2004-01-15 00:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 01:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 02:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 03:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 04:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 05:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 06:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 07:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 08:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 09:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 10:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 11:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 12:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 13:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 14:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 15:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 16:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 17:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 18:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 19:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 20:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 21:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 22:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-15 23:00:00+00:00,3.095928515152488,2.3072282704921676,1.9851654494117648,4.499693524021499
2004-01-16 00:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 01:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 02:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 03:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 04:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 05:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 06:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 07:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 08:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 09:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 10:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 11:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 12:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 13:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 14:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 15:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 16:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 17:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 18:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 19:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 20:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 21:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 22:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-16 23:00:00+00:00,2.798308867839486,2.170589095734335,1.8459216169411765,3.7397383835677505
2004-01-17 00:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 01:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 02:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 03:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 04:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 05:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 06:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 07:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 08:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 09:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 10:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 11:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 12:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 13:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 14:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 15:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 16:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 17:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 18:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 19:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 20:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 21:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 22:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-17 23:00:00+00:00,2.4707562100208667,2.0337592173131975,1.7254945185882355,3.2822988705341256
2004-01-18 00:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 01:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 02:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 03:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 04:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 05:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 06:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 07:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 08:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 09:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 10:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 11:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 12:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 13:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 14:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 15:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 16:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 17:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 18:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 19:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 20:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 21:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 22:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-18 23:00:00+00:00,2.505820593756019,2.1328297704000008,1.7800630475294121,3.362866191894375
2004-01-19 00:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 01:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 02:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 03:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 04:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 05:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 06:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 07:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 08:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 09:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 10:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 11:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 12:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 13:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
2004-01-19 14:00:00+00:00,2.369839203173355,2.2777645545115877,1.7123228047058825,3.265909372612875
